2026/04/01 19:50:29.493267 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:NewReader_ok file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf | Alloc=2.40MiB Sys=49.64MiB HeapInuse=3.59MiB HeapObjs=17880 Mallocs=252293 NumGC=200 | activePDF=2
2026/04/01 19:50:29.493785 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_pages=29 file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf | Alloc=2.51MiB Sys=49.64MiB HeapInuse=3.70MiB HeapObjs=18600 Mallocs=253238 NumGC=200 | activePDF=2
2026/04/01 19:50:29.496397 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=2 plainLen=5625 | Alloc=2.44MiB HeapInuse=3.64MiB | activePDF=2
2026/04/01 19:50:29.508004 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=3 plainLen=5775 | Alloc=1.65MiB HeapInuse=3.12MiB | activePDF=2
2026/04/01 19:50:29.508004 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=1 plainLen=782 | Alloc=1.67MiB HeapInuse=3.14MiB | activePDF=2
2026/04/01 19:50:29.513062 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=2 plainLen=245 | Alloc=2.06MiB HeapInuse=3.24MiB | activePDF=2
2026/04/01 19:50:29.516384 pdf_memhook.go:67: [pdf-mem] page file=$R3SJQBU.pdf page=5 plainLen=5503 | Alloc=2.61MiB HeapInuse=3.63MiB | activePDF=1
2026/04/01 19:50:29.528869 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=4 plainLen=4760 | Alloc=1.75MiB HeapInuse=3.09MiB | activePDF=2
2026/04/01 19:50:29.555293 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=5 plainLen=3575 | Alloc=2.02MiB HeapInuse=3.39MiB | activePDF=2
2026/04/01 19:50:29.570958 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=6 plainLen=5702 | Alloc=2.31MiB HeapInuse=3.48MiB | activePDF=2
2026/04/01 19:50:29.580521 pdf_memhook.go:67: [pdf-mem] page file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf page=3 plainLen=1692 | Alloc=2.15MiB HeapInuse=3.69MiB | activePDF=2
2026/04/01 19:50:29.587488 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=7 plainLen=4990 | Alloc=2.51MiB HeapInuse=3.67MiB | activePDF=2
